Student_ID,Class,Section,Month,Monthly_Fee,Amount_Paid,Payment_Status
1147,3,A,October,4937,4937,Paid
1147,3,A,November,4937,4937,Paid
1147,3,A,December,4937,815,Unpaid
1147,3,A,January,4937,4937,Paid
1147,3,A,February,4937,2612,Unpaid
1147,3,A,March,4937,4937,Paid
1148,3,B,April,3579,528,Unpaid
1148,3,B,May,3579,2847,Unpaid
1148,3,B,August,3579,3579,Paid
1148,3,B,September,3579,1453,Unpaid
1148,3,B,October,3579,456,Unpaid
1148,3,B,November,3579,829,Unpaid
1148,3,B,December,3579,213,Unpaid
1148,3,B,January,3579,3579,Paid
1148,3,B,February,3579,3579,Paid
1148,3,B,March,3579,3579,Paid
1149,3,B,April,2873,2873,Paid
1149,3,B,May,2873,646,Unpaid
1149,3,B,August,2873,2873,Paid
1149,3,B,September,2873,2873,Paid
1149,3,B,October,2873,1218,Unpaid
1149,3,B,November,2873,2873,Paid
1149,3,B,December,2873,2873,Paid
1149,3,B,January,2873,2518,Unpaid
1149,3,B,February,2873,155,Unpaid
1149,3,B,March,2873,2873,Paid
1150,3,B,April,4813,2069,Unpaid
1150,3,B,May,4813,4270,Unpaid
1150,3,B,August,4813,1785,Unpaid
1150,3,B,September,4813,4813,Paid
1150,3,B,October,4813,3753,Unpaid
1150,3,B,November,4813,533,Unpaid
1150,3,B,December,4813,4813,Paid
1150,3,B,January,4813,4813,Paid
1150,3,B,February,4813,4813,Paid
1150,3,B,March,4813,4813,Paid
1151,3,A,April,4288,4288,Paid
1151,3,A,May,4288,2322,Unpaid
1151,3,A,August,4288,4288,Paid
1151,3,A,September,4288,4288,Paid
1151,3,A,October,4288,4288,Paid
1151,3,A,November,4288,612,Unpaid
1151,3,A,December,4288,1490,Unpaid
1151,3,A,January,4288,4288,Paid
1151,3,A,February,4288,4288,Paid
1151,3,A,March,4288,3432,Unpaid
1152,3,A,April,3402,1463,Unpaid
1152,3,A,May,3402,3402,Paid
1152,3,A,August,3402,655,Unpaid
1152,3,A,September,3402,634,Unpaid
1152,3,A,October,3402,2028,Unpaid
1152,3,A,November,3402,3402,Paid
1152,3,A,December,3402,3402,Paid
1152,3,A,January,3402,1562,Unpaid
1152,3,A,February,3402,3402,Paid
1152,3,A,March,3402,3402,Paid
1153,3,A,April,3118,1545,Unpaid
1153,3,A,May,3118,2233,Unpaid
1153,3,A,August,3118,3118,Paid
1153,3,A,September,3118,3118,Paid
1153,3,A,October,3118,3118,Paid
1153,3,A,November,3118,3118,Paid
1153,3,A,December,3118,3118,Paid
1153,3,A,January,3118,3118,Paid
1153,3,A,February,3118,2346,Unpaid
1153,3,A,March,3118,3118,Paid
1154,3,B,April,2496,594,Unpaid
1154,3,B,May,2496,1921,Unpaid
1154,3,B,August,2496,2496,Paid
1154,3,B,September,2496,2414,Unpaid
1154,3,B,October,2496,2496,Paid
1154,3,B,November,2496,2496,Paid
1154,3,B,December,2496,1010,Unpaid
1154,3,B,January,2496,767,Unpaid
1154,3,B,February,2496,2496,Paid
1154,3,B,March,2496,2496,Paid
1155,3,B,April,2738,545,Unpaid
1155,3,B,May,2738,1918,Unpaid
1155,3,B,August,2738,2738,Paid
1155,3,B,September,2738,1726,Unpaid
1155,3,B,October,2738,2738,Paid
1155,3,B,November,2738,1395,Unpaid
1155,3,B,December,2738,2738,Paid
1155,3,B,January,2738,2738,Paid
1155,3,B,February,2738,2738,Paid
1155,3,B,March,2738,2738,Paid
1156,3,B,April,2629,2629,Paid
1156,3,B,May,2629,2629,Paid
1156,3,B,August,2629,101,Unpaid
1156,3,B,September,2629,1400,Unpaid
1156,3,B,October,2629,2629,Paid
1156,3,B,November,2629,2629,Paid
1156,3,B,December,2629,2629,Paid
1156,3,B,January,2629,2629,Paid
1156,3,B,February,2629,2629,Paid
1156,3,B,March,2629,2629,Paid
1157,3,A,April,4567,2249,Unpaid
1157,3,A,May,4567,4567,Paid
1157,3,A,August,4567,2531,Unpaid
1157,3,A,September,4567,4567,Paid
1157,3,A,October,4567,714,Unpaid
1157,3,A,November,4567,3128,Unpaid
1157,3,A,December,4567,4567,Paid
1157,3,A,January,4567,2027,Unpaid
1157,3,A,February,4567,2646,Unpaid
1157,3,A,March,4567,1332,Unpaid
1158,3,B,April,3666,3666,Paid
1158,3,B,May,3666,3666,Paid
1158,3,B,August,3666,3666,Paid
1158,3,B,September,3666,3666,Paid
1158,3,B,October,3666,608,Unpaid
1158,3,B,November,3666,3666,Paid
1158,3,B,December,3666,3666,Paid
1158,3,B,January,3666,2211,Unpaid
1158,3,B,February,3666,1209,Unpaid
1158,3,B,March,3666,3666,Paid
1159,3,A,April,3234,1921,Unpaid
1159,3,A,May,3234,619,Unpaid
1159,3,A,August,3234,2773,Unpaid
1159,3,A,September,3234,2566,Unpaid
1159,3,A,October,3234,3234,Paid
1159,3,A,November,3234,3234,Paid
1159,3,A,December,3234,916,Unpaid
1159,3,A,January,3234,803,Unpaid
1159,3,A,February,3234,2377,Unpaid
1159,3,A,March,3234,3234,Paid
1160,3,B,April,4765,4765,Paid
1160,3,B,May,4765,4765,Paid
1160,3,B,August,4765,4765,Paid
1160,3,B,September,4765,4765,Paid
1160,3,B,October,4765,3569,Unpaid
1160,3,B,November,4765,4559,Unpaid
1160,3,B,December,4765,4765,Paid
1160,3,B,January,4765,4765,Paid
1160,3,B,February,4765,4765,Paid
1160,3,B,March,4765,1880,Unpaid
1161,3,B,April,3160,3160,Paid
1161,3,B,May,3160,3160,Paid
1161,3,B,August,3160,1271,Unpaid
1161,3,B,September,3160,1713,Unpaid
1161,3,B,October,3160,3160,Paid
1161,3,B,November,3160,3160,Paid
1161,3,B,December,3160,3160,Paid
1161,3,B,January,3160,3160,Paid
1161,3,B,February,3160,3160,Paid
1161,3,B,March,3160,3160,Paid
1162,3,A,April,3332,3332,Paid
1162,3,A,May,3332,3332,Paid
1162,3,A,August,3332,3332,Paid
1162,3,A,September,3332,3332,Paid
1162,3,A,October,3332,402,Unpaid
1162,3,A,November,3332,3332,Paid
1162,3,A,December,3332,2155,Unpaid
1162,3,A,January,3332,2510,Unpaid
1162,3,A,February,3332,3332,Paid
1162,3,A,March,3332,3332,Paid
1163,3,A,April,3870,3870,Paid
1163,3,A,May,3870,1854,Unpaid
1163,3,A,August,3870,3869,Unpaid
1163,3,A,September,3870,3294,Unpaid
1163,3,A,October,3870,3870,Paid
1163,3,A,November,3870,2333,Unpaid
1163,3,A,December,3870,725,Unpaid
1163,3,A,January,3870,3870,Paid
1163,3,A,February,3870,2223,Unpaid
1163,3,A,March,3870,3870,Paid
1164,3,A,April,2567,2567,Paid
1164,3,A,May,2567,374,Unpaid
1164,3,A,August,2567,2567,Paid
1164,3,A,September,2567,959,Unpaid
1164,3,A,October,2567,2567,Paid
1164,3,A,November,2567,2567,Paid
1164,3,A,December,2567,2567,Paid
1164,3,A,January,2567,1372,Unpaid
1164,3,A,February,2567,2567,Paid
1164,3,A,March,2567,2567,Paid
1165,3,B,April,4721,4721,Paid
1165,3,B,May,4721,4721,Paid
1165,3,B,August,4721,4721,Paid
1165,3,B,September,4721,4721,Paid
1165,3,B,October,4721,550,Unpaid
1165,3,B,November,4721,4721,Paid
1165,3,B,December,4721,1612,Unpaid
1165,3,B,January,4721,4721,Paid
1165,3,B,February,4721,4721,Paid
1165,3,B,March,4721,2990,Unpaid
1166,3,A,April,4045,2021,Unpaid
1166,3,A,May,4045,4045,Paid
1166,3,A,August,4045,1805,Unpaid
1166,3,A,September,4045,4045,Paid
1166,3,A,October,4045,4,Unpaid
1166,3,A,November,4045,4045,Paid
1166,3,A,December,4045,2258,Unpaid
1166,3,A,January,4045,2856,Unpaid
1166,3,A,February,4045,4045,Paid
1166,3,A,March,4045,900,Unpaid
1167,3,A,April,4037,2763,Unpaid
1167,3,A,May,4037,4037,Paid
1167,3,A,August,4037,4037,Paid
1167,3,A,September,4037,4037,Paid
1167,3,A,October,4037,3274,Unpaid
1167,3,A,November,4037,315,Unpaid
1167,3,A,December,4037,4037,Paid
1167,3,A,January,4037,2005,Unpaid
1167,3,A,February,4037,1353,Unpaid
1167,3,A,March,4037,238,Unpaid
1168,3,A,April,3456,3456,Paid
1168,3,A,May,3456,3456,Paid
1168,3,A,August,3456,153,Unpaid
1168,3,A,September,3456,1892,Unpaid
1168,3,A,October,3456,2471,Unpaid
1168,3,A,November,3456,2419,Unpaid
1168,3,A,December,3456,3456,Paid
1168,3,A,January,3456,2083,Unpaid
1168,3,A,February,3456,3456,Paid
1168,3,A,March,3456,2630,Unpaid
1169,3,B,April,2967,782,Unpaid
1169,3,B,May,2967,2967,Paid
1169,3,B,August,2967,2967,Paid
1169,3,B,September,2967,2967,Paid
1169,3,B,October,2967,2967,Paid
1169,3,B,November,2967,2967,Paid
1169,3,B,December,2967,2967,Paid
1169,3,B,January,2967,2967,Paid
1169,3,B,February,2967,1764,Unpaid
1169,3,B,March,2967,2616,Unpaid
1170,3,A,April,3579,3579,Paid
1170,3,A,May,3579,3579,Paid
1170,3,A,August,3579,2750,Unpaid
1170,3,A,September,3579,1054,Unpaid
1170,3,A,October,3579,3579,Paid
1170,3,A,November,3579,187,Unpaid
1170,3,A,December,3579,843,Unpaid
1170,3,A,January,3579,3579,Paid
1170,3,A,February,3579,3579,Paid
1170,3,A,March,3579,3579,Paid
1171,3,B,April,3783,3783,Paid
1171,3,B,May,3783,2413,Unpaid
1171,3,B,August,3783,3783,Paid
1171,3,B,September,3783,3783,Paid
1171,3,B,October,3783,355,Unpaid
1171,3,B,November,3783,2227,Unpaid
1171,3,B,December,3783,3783,Paid
1171,3,B,January,3783,3783,Paid
1171,3,B,February,3783,3783,Paid
1171,3,B,March,3783,2412,Unpaid
1172,3,A,April,2832,2832,Paid
1172,3,A,May,2832,2219,Unpaid
1172,3,A,August,2832,2832,Paid
1172,3,A,September,2832,2832,Paid
1172,3,A,October,2832,2832,Paid
1172,3,A,November,2832,1642,Unpaid
1172,3,A,December,2832,790,Unpaid
1172,3,A,January,2832,2832,Paid
1172,3,A,February,2832,1592,Unpaid
1172,3,A,March,2832,599,Unpaid
1173,3,B,April,2646,884,Unpaid
1173,3,B,May,2646,2646,Paid
1173,3,B,August,2646,2646,Paid
1173,3,B,September,2646,221,Unpaid
1173,3,B,October,2646,2646,Paid
1173,3,B,November,2646,2646,Paid
1173,3,B,December,2646,2646,Paid
1173,3,B,January,2646,63,Unpaid
1173,3,B,February,2646,2646,Paid
1173,3,B,March,2646,1419,Unpaid
1174,3,A,April,2851,2851,Paid
1174,3,A,May,2851,1433,Unpaid
1174,3,A,August,2851,787,Unpaid
1174,3,A,September,2851,2851,Paid
1174,3,A,October,2851,1304,Unpaid
1174,3,A,November,2851,2851,Paid
1174,3,A,December,2851,2851,Paid
1174,3,A,January,2851,2607,Unpaid
1174,3,A,February,2851,2019,Unpaid
1174,3,A,March,2851,2464,Unpaid
1175,3,B,April,4256,271,Unpaid
1175,3,B,May,4256,4256,Paid
1175,3,B,August,4256,4256,Paid
1175,3,B,September,4256,1654,Unpaid
1175,3,B,October,4256,198,Unpaid
1175,3,B,November,4256,4256,Paid
1175,3,B,December,4256,2485,Unpaid
1175,3,B,January,4256,4256,Paid
1175,3,B,February,4256,4256,Paid
1175,3,B,March,4256,4256,Paid
1176,3,A,April,2932,1572,Unpaid
1176,3,A,May,2932,1232,Unpaid
1176,3,A,August,2932,2932,Paid
1176,3,A,September,2932,1394,Unpaid
1176,3,A,October,2932,2932,Paid
1176,3,A,November,2932,2932,Paid
1176,3,A,December,2932,994,Unpaid
1176,3,A,January,2932,1712,Unpaid
1176,3,A,February,2932,2932,Paid
1176,3,A,March,2932,313,Unpaid
1177,3,B,April,4076,3535,Unpaid
1177,3,B,May,4076,1569,Unpaid
1177,3,B,August,4076,703,Unpaid
1177,3,B,September,4076,4076,Paid
1177,3,B,October,4076,3562,Unpaid
1177,3,B,November,4076,4076,Paid
1177,3,B,December,4076,2906,Unpaid
1177,3,B,January,4076,2277,Unpaid
1177,3,B,February,4076,4076,Paid
1177,3,B,March,4076,4076,Paid
1178,3,A,April,3622,3622,Paid
1178,3,A,May,3622,3453,Unpaid
1178,3,A,August,3622,1648,Unpaid
1178,3,A,September,3622,2145,Unpaid
1178,3,A,October,3622,3537,Unpaid
1178,3,A,November,3622,3622,Paid
1178,3,A,December,3622,1800,Unpaid
1178,3,A,January,3622,3622,Paid
1178,3,A,February,3622,613,Unpaid
1178,3,A,March,3622,482,Unpaid
1179,3,A,April,2776,2776,Paid
1179,3,A,May,2776,2714,Unpaid
1179,3,A,August,2776,2657,Unpaid
1179,3,A,September,2776,822,Unpaid
1179,3,A,October,2776,1691,Unpaid
1179,3,A,November,2776,2776,Paid
1179,3,A,December,2776,1930,Unpaid
1179,3,A,January,2776,1311,Unpaid
1179,3,A,February,2776,608,Unpaid
1179,3,A,March,2776,2776,Paid
1180,3,A,April,4553,4553,Paid
1180,3,A,May,4553,4553,Paid
1180,3,A,August,4553,3005,Unpaid
1180,3,A,September,4553,4553,Paid
1180,3,A,October,4553,3890,Unpaid
1180,3,A,November,4553,2580,Unpaid
1180,3,A,December,4553,54,Unpaid
1180,3,A,January,4553,2304,Unpaid
1180,3,A,February,4553,598,Unpaid
1180,3,A,March,4553,4553,Paid
1181,3,B,April,2674,2674,Paid
1181,3,B,May,2674,2674,Paid
1181,3,B,August,2674,2674,Paid
1181,3,B,September,2674,1315,Unpaid
1181,3,B,October,2674,2149,Unpaid
1181,3,B,November,2674,1607,Unpaid
1181,3,B,December,2674,1581,Unpaid
1181,3,B,January,2674,2674,Paid
1181,3,B,February,2674,2674,Paid
1181,3,B,March,2674,697,Unpaid
1182,3,A,April,4567,4567,Paid
1182,3,A,May,4567,4567,Paid
1182,3,A,August,4567,4567,Paid
1182,3,A,September,4567,4567,Paid
1182,3,A,October,4567,1053,Unpaid
1182,3,A,November,4567,4567,Paid
1182,3,A,December,4567,2790,Unpaid
1182,3,A,January,4567,3401,Unpaid
1182,3,A,February,4567,4567,Paid
1182,3,A,March,4567,4567,Paid
1183,3,A,April,3832,1833,Unpaid
1183,3,A,May,3832,2560,Unpaid
1183,3,A,August,3832,3832,Paid
1183,3,A,September,3832,3832,Paid
1183,3,A,October,3832,3832,Paid
1183,3,A,November,3832,3832,Paid
1183,3,A,December,3832,3832,Paid
1183,3,A,January,3832,2523,Unpaid
1183,3,A,February,3832,2076,Unpaid
1183,3,A,March,3832,3832,Paid
1184,3,A,April,3293,3293,Paid
1184,3,A,May,3293,3293,Paid
1184,3,A,August,3293,1293,Unpaid
1184,3,A,September,3293,3293,Paid
1184,3,A,October,3293,3170,Unpaid
1184,3,A,November,3293,3206,Unpaid
1184,3,A,December,3293,3293,Paid
1184,3,A,January,3293,2419,Unpaid
1184,3,A,February,3293,135,Unpaid
1184,3,A,March,3293,3293,Paid
1185,4,B,April,3386,3329,Unpaid
1185,4,B,May,3386,3386,Paid
1185,4,B,August,3386,3386,Paid
1185,4,B,September,3386,572,Unpaid
1185,4,B,October,3386,3386,Paid
1185,4,B,November,3386,1458,Unpaid
1185,4,B,December,3386,2377,Unpaid
1185,4,B,January,3386,1868,Unpaid
1185,4,B,February,3386,2591,Unpaid
1185,4,B,March,3386,3386,Paid
1186,4,B,April,3581,3581,Paid
1186,4,B,May,3581,391,Unpaid
1186,4,B,August,3581,619,Unpaid
1186,4,B,September,3581,3440,Unpaid
1186,4,B,October,3581,298,Unpaid
1186,4,B,November,3581,3414,Unpaid
1186,4,B,December,3581,1433,Unpaid
1186,4,B,January,3581,2465,Unpaid
1186,4,B,February,3581,3581,Paid
1186,4,B,March,3581,1175,Unpaid
1187,4,B,April,3264,1955,Unpaid
1187,4,B,May,3264,3264,Paid
1187,4,B,August,3264,975,Unpaid
1187,4,B,September,3264,3264,Paid
1187,4,B,October,3264,1116,Unpaid
1187,4,B,November,3264,2118,Unpaid
1187,4,B,December,3264,1098,Unpaid
1187,4,B,January,3264,3264,Paid
1187,4,B,February,3264,3264,Paid
1187,4,B,March,3264,3264,Paid
1188,4,A,April,4818,4818,Paid
1188,4,A,May,4818,4643,Unpaid
1188,4,A,August,4818,1279,Unpaid
1188,4,A,September,4818,3910,Unpaid
1188,4,A,October,4818,4818,Paid
1188,4,A,November,4818,4661,Unpaid
1188,4,A,December,4818,4818,Paid
1188,4,A,January,4818,1094,Unpaid
1188,4,A,February,4818,605,Unpaid
1188,4,A,March,4818,4818,Paid
1189,4,A,April,3204,3204,Paid
1189,4,A,May,3204,3204,Paid
1189,4,A,August,3204,3204,Paid
1189,4,A,September,3204,2506,Unpaid
1189,4,A,October,3204,2755,Unpaid
1189,4,A,November,3204,3204,Paid
1189,4,A,December,3204,742,Unpaid
1189,4,A,January,3204,1500,Unpaid
1189,4,A,February,3204,1900,Unpaid
1189,4,A,March,3204,3204,Paid
1190,4,B,April,4108,3085,Unpaid
1190,4,B,May,4108,4108,Paid
1190,4,B,August,4108,4108,Paid
1190,4,B,September,4108,4108,Paid
1190,4,B,October,4108,4108,Paid
1190,4,B,November,4108,1980,Unpaid
1190,4,B,December,4108,3523,Unpaid
1190,4,B,January,4108,2404,Unpaid
1190,4,B,February,4108,717,Unpaid
1190,4,B,March,4108,4108,Paid
1191,4,B,April,4311,4311,Paid
1191,4,B,May,4311,4311,Paid
1191,4,B,August,4311,4311,Paid
1191,4,B,September,4311,1418,Unpaid
1191,4,B,October,4311,86,Unpaid
1191,4,B,November,4311,4311,Paid
1191,4,B,December,4311,4055,Unpaid
1191,4,B,January,4311,4311,Paid
1191,4,B,February,4311,4311,Paid
1191,4,B,March,4311,2458,Unpaid
1192,4,A,April,3753,3753,Paid
1192,4,A,May,3753,3753,Paid
1192,4,A,August,3753,371,Unpaid
1192,4,A,September,3753,3753,Paid
1192,4,A,October,3753,2156,Unpaid
1192,4,A,November,3753,3753,Paid
1192,4,A,December,3753,3753,Paid
1192,4,A,January,3753,3753,Paid
1192,4,A,February,3753,3753,Paid
1192,4,A,March,3753,2958,Unpaid
1193,4,B,April,4387,2187,Unpaid
1193,4,B,May,4387,4387,Paid
1193,4,B,August,4387,4387,Paid
1193,4,B,September,4387,4387,Paid
1193,4,B,October,4387,4387,Paid
1193,4,B,November,4387,1828,Unpaid
1193,4,B,December,4387,4387,Paid
1193,4,B,January,4387,4387,Paid
1193,4,B,February,4387,4387,Paid
1193,4,B,March,4387,4387,Paid
1194,4,A,April,4847,4847,Paid
1194,4,A,May,4847,4847,Paid
1194,4,A,August,4847,4847,Paid
1194,4,A,September,4847,2827,Unpaid
1194,4,A,October,4847,237,Unpaid
1194,4,A,November,4847,4847,Paid
1194,4,A,December,4847,1631,Unpaid
1194,4,A,January,4847,1738,Unpaid
1194,4,A,February,4847,607,Unpaid
1194,4,A,March,4847,3817,Unpaid
1195,4,B,April,3283,3283,Paid
1195,4,B,May,3283,3283,Paid
1195,4,B,August,3283,3283,Paid
1195,4,B,September,3283,858,Unpaid
1195,4,B,October,3283,3039,Unpaid
1195,4,B,November,3283,523,Unpaid
1195,4,B,December,3283,2237,Unpaid
1195,4,B,January,3283,1343,Unpaid
1195,4,B,February,3283,3283,Paid
1195,4,B,March,3283,906,Unpaid
1196,4,A,April,3734,3734,Paid
1196,4,A,May,3734,475,Unpaid
1196,4,A,August,3734,5,Unpaid
1196,4,A,September,3734,696,Unpaid
1196,4,A,October,3734,608,Unpaid
1196,4,A,November,3734,3354,Unpaid
1196,4,A,December,3734,3734,Paid
1196,4,A,January,3734,3734,Paid
1196,4,A,February,3734,365,Unpaid
1196,4,A,March,3734,2313,Unpaid
1197,4,B,April,4457,792,Unpaid
1197,4,B,May,4457,1893,Unpaid
1197,4,B,August,4457,1878,Unpaid
1197,4,B,September,4457,4457,Paid
1197,4,B,October,4457,2409,Unpaid
1197,4,B,November,4457,2553,Unpaid
1197,4,B,December,4457,4457,Paid
1197,4,B,January,4457,4457,Paid
1197,4,B,February,4457,734,Unpaid
1197,4,B,March,4457,3925,Unpaid
1198,4,B,April,3091,3091,Paid
1198,4,B,May,3091,3091,Paid
1198,4,B,August,3091,736,Unpaid
1198,4,B,September,3091,1929,Unpaid
1198,4,B,October,3091,3091,Paid
1198,4,B,November,3091,3091,Paid
1198,4,B,December,3091,2162,Unpaid
1198,4,B,January,3091,1838,Unpaid
1198,4,B,February,3091,839,Unpaid
1198,4,B,March,3091,3091,Paid
1199,4,B,April,2114,2114,Paid
1199,4,B,May,2114,2114,Paid
1199,4,B,August,2114,453,Unpaid
1199,4,B,September,2114,367,Unpaid
1199,4,B,October,2114,1966,Unpaid
1199,4,B,November,2114,2114,Paid
1199,4,B,December,2114,130,Unpaid
1199,4,B,January,2114,1813,Unpaid
1199,4,B,February,2114,2114,Paid
1199,4,B,March,2114,213,Unpaid
1200,4,A,April,2559,194,Unpaid
1200,4,A,May,2559,648,Unpaid
1200,4,A,August,2559,827,Unpaid
1200,4,A,September,2559,208,Unpaid
1200,4,A,October,2559,2149,Unpaid
1200,4,A,November,2559,1170,Unpaid
1200,4,A,December,2559,2559,Paid
1200,4,A,January,2559,1035,Unpaid
1200,4,A,February,2559,1057,Unpaid
1200,4,A,March,2559,1478,Unpaid
1201,4,B,April,2837,786,Unpaid
1201,4,B,May,2837,2837,Paid
1201,4,B,August,2837,2837,Paid
1201,4,B,September,2837,2837,Paid
1201,4,B,October,2837,2837,Paid
1201,4,B,November,2837,2837,Paid
1201,4,B,December,2837,328,Unpaid
1201,4,B,January,2837,2837,Paid
1201,4,B,February,2837,1687,Unpaid
1201,4,B,March,2837,2591,Unpaid
1202,4,A,April,2998,1278,Unpaid
1202,4,A,May,2998,1139,Unpaid
1202,4,A,August,2998,2876,Unpaid
1202,4,A,September,2998,2918,Unpaid
1202,4,A,October,2998,2998,Paid
1202,4,A,November,2998,2998,Paid
1202,4,A,December,2998,2998,Paid
1202,4,A,January,2998,1937,Unpaid
1202,4,A,February,2998,519,Unpaid
1202,4,A,March,2998,2998,Paid
1203,4,B,April,4705,722,Unpaid
1203,4,B,May,4705,4157,Unpaid
1203,4,B,August,4705,4705,Paid
1203,4,B,September,4705,4705,Paid
1203,4,B,October,4705,4705,Paid
1203,4,B,November,4705,4705,Paid
1203,4,B,December,4705,3975,Unpaid
1203,4,B,January,4705,4705,Paid
1203,4,B,February,4705,4705,Paid
1203,4,B,March,4705,483,Unpaid
1204,4,A,April,4406,3718,Unpaid
1204,4,A,May,4406,4406,Paid
1204,4,A,August,4406,3117,Unpaid
1204,4,A,September,4406,4406,Paid
1204,4,A,October,4406,4406,Paid
1204,4,A,November,4406,4406,Paid
1204,4,A,December,4406,4406,Paid
1204,4,A,January,4406,3249,Unpaid
1204,4,A,February,4406,4406,Paid
1204,4,A,March,4406,4406,Paid
1205,4,B,April,2018,39,Unpaid
1205,4,B,May,2018,2018,Paid
1205,4,B,August,2018,2018,Paid
1205,4,B,September,2018,2018,Paid
1205,4,B,October,2018,1382,Unpaid
1205,4,B,November,2018,1547,Unpaid
1205,4,B,December,2018,2018,Paid
1205,4,B,January,2018,2018,Paid
1205,4,B,February,2018,885,Unpaid
1205,4,B,March,2018,1595,Unpaid
1206,4,B,April,2203,233,Unpaid
1206,4,B,May,2203,2015,Unpaid
1206,4,B,August,2203,1262,Unpaid
1206,4,B,September,2203,1216,Unpaid
1206,4,B,October,2203,34,Unpaid
1206,4,B,November,2203,2203,Paid
1206,4,B,December,2203,189,Unpaid
1206,4,B,January,2203,1344,Unpaid
1206,4,B,February,2203,2203,Paid
1206,4,B,March,2203,1268,Unpaid
1207,4,B,April,4682,4253,Unpaid
1207,4,B,May,4682,4682,Paid
1207,4,B,August,4682,3637,Unpaid
1207,4,B,September,4682,2971,Unpaid
1207,4,B,October,4682,2824,Unpaid
1207,4,B,November,4682,4682,Paid
1207,4,B,December,4682,4682,Paid
1207,4,B,January,4682,4682,Paid
1207,4,B,February,4682,1876,Unpaid
1207,4,B,March,4682,2864,Unpaid
1208,4,A,April,2403,2403,Paid
1208,4,A,May,2403,2341,Unpaid
1208,4,A,August,2403,2129,Unpaid
1208,4,A,September,2403,1251,Unpaid
1208,4,A,October,2403,1767,Unpaid
1208,4,A,November,2403,2403,Paid
1208,4,A,December,2403,1453,Unpaid
1208,4,A,January,2403,852,Unpaid
1208,4,A,February,2403,1778,Unpaid
1208,4,A,March,2403,1459,Unpaid
1209,4,B,April,4193,4193,Paid
1209,4,B,May,4193,1762,Unpaid
1209,4,B,August,4193,4193,Paid
1209,4,B,September,4193,1429,Unpaid
1209,4,B,October,4193,4193,Paid
1209,4,B,November,4193,3858,Unpaid
1209,4,B,December,4193,4193,Paid
1209,4,B,January,4193,4193,Paid
1209,4,B,February,4193,1847,Unpaid
1209,4,B,March,4193,4193,Paid
1210,4,B,April,4140,1169,Unpaid
1210,4,B,May,4140,4140,Paid
1210,4,B,August,4140,4140,Paid
1210,4,B,September,4140,4140,Paid
1210,4,B,October,4140,3033,Unpaid
1210,4,B,November,4140,767,Unpaid
1210,4,B,December,4140,1671,Unpaid
1210,4,B,January,4140,2141,Unpaid
1210,4,B,February,4140,2282,Unpaid
1210,4,B,March,4140,136,Unpaid
1211,4,B,April,4836,4836,Paid
1211,4,B,May,4836,4836,Paid
1211,4,B,August,4836,1581,Unpaid
1211,4,B,September,4836,4836,Paid
1211,4,B,October,4836,1199,Unpaid
1211,4,B,November,4836,4836,Paid
1211,4,B,December,4836,4836,Paid
1211,4,B,January,4836,1219,Unpaid
1211,4,B,February,4836,4836,Paid
1211,4,B,March,4836,4545,Unpaid
1212,4,B,April,2287,2287,Paid
1212,4,B,May,2287,103,Unpaid
1212,4,B,August,2287,1683,Unpaid
1212,4,B,September,2287,2287,Paid
1212,4,B,October,2287,789,Unpaid
1212,4,B,November,2287,2287,Paid
1212,4,B,December,2287,2287,Paid
1212,4,B,January,2287,2287,Paid
1212,4,B,February,2287,48,Unpaid
1212,4,B,March,2287,1911,Unpaid
1213,4,A,April,2757,2757,Paid
1213,4,A,May,2757,2757,Paid
1213,4,A,August,2757,2757,Paid
1213,4,A,September,2757,2255,Unpaid
1213,4,A,October,2757,2757,Paid
1213,4,A,November,2757,480,Unpaid
1213,4,A,December,2757,2757,Paid
1213,4,A,January,2757,2757,Paid
1213,4,A,February,2757,2273,Unpaid
1213,4,A,March,2757,2757,Paid
1214,4,B,April,3920,3920,Paid
1214,4,B,May,3920,3920,Paid
1214,4,B,August,3920,650,Unpaid
1214,4,B,September,3920,3920,Paid
1214,4,B,October,3920,3920,Paid
1214,4,B,November,3920,3920,Paid
1214,4,B,December,3920,3920,Paid
1214,4,B,January,3920,2484,Unpaid
1214,4,B,February,3920,3920,Paid
1214,4,B,March,3920,3920,Paid
1215,4,A,April,3135,1335,Unpaid
1215,4,A,May,3135,2168,Unpaid
1215,4,A,August,3135,3135,Paid
1215,4,A,September,3135,1694,Unpaid
1215,4,A,October,3135,3135,Paid
1215,4,A,November,3135,1853,Unpaid
1215,4,A,December,3135,3135,Paid
1215,4,A,January,3135,3135,Paid
1215,4,A,February,3135,3135,Paid
1215,4,A,March,3135,3135,Paid
1216,4,B,April,2600,2600,Paid
1216,4,B,May,2600,2600,Paid
1216,4,B,August,2600,2600,Paid
1216,4,B,September,2600,76,Unpaid
1216,4,B,October,2600,468,Unpaid
1216,4,B,November,2600,977,Unpaid
1216,4,B,December,2600,2600,Paid
1216,4,B,January,2600,1075,Unpaid
1216,4,B,February,2600,2600,Paid
1216,4,B,March,2600,2600,Paid
1217,4,B,April,4906,2279,Unpaid
1217,4,B,May,4906,4906,Paid
1217,4,B,August,4906,3106,Unpaid
1217,4,B,September,4906,4906,Paid
1217,4,B,October,4906,931,Unpaid
1217,4,B,November,4906,4819,Unpaid
1217,4,B,December,4906,3337,Unpaid
